"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"5/8 Flat Washer Extra Thick SS",FW58ETSS,4,4,EA,899,PACK,0.004,0.004,,430,181,000,,,,0.0241,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"5/8-11 x 2ft Threaded Rod SS",THR58SS,1.33,1.33,EA,899,PACK,0.00133,0.00133,,430,181,000,,,,1.7,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"5/8 Hexnut SS",HN58SS,4,4,EA,899,PACK,0.06667,0.06667,,430,181,000,,,,0.019,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.069,0.069,M,140,CUTL,0.16667,0.16667,,430,000,000,,,,0.71,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"16mm Hercules Rope Blue",RNF16BL,0.729,0.729,M,140,CUTL,0.16667,0.16667,,430,000,000,,,,0.71,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle",SHKM103ESS,3,3,EA,200,FRP3,0.05,0.05,,430,000,000,,,,,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle",AL1633,3,3,EA,299,FRP3,0.1,0.1,,430,000,000,,,,0.12,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",AL1633,3,3,EA,299,FRP3,0.1,0.1,,430,000,000,,,,0.12,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle",TM12NYH,3,3,EA,299,FRP3,0.1,0.1,,430,000,000,,,,0.01,999999999,999999999
,030618BS1434,,NF16mm,"16mm Netform;Rope: 16mm Hercules Rope Black;  Rope: 16mm Hercules Rope Blue;Mesh Size: N/A;  Term : Huck Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop to 3 Eyed SS Shackle;Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",TM12NYH,3,3,EA,299,FRP3,0.1,0.1,,430,000,000,,,,0.01,999999999,999999999
